;AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle
59;-13.399993900000002;20.69999886;6.05999982;115.840061;-4.5;1.0548;38.03921509;31.0;101.0;798.0;6.21999979;15.0;-0.5982;27.91969681;SmoothCondition;LowCongestionCondition;EvenPaceStyle
60;-13.20000458;17.10000038;6.3449998260000005;117.2008155;-3.599998474;0.9012;38.03921509;31.0;101.0;797.5;6.269999981000001;15.0;-0.5244;26.45835495;SmoothCondition;LowCongestionCondition;EvenPaceStyle
61;-13.20000458;14.39999962;6.58499982;117.55959509999998;-2.7000007630000002;0.9331;90.58823395;32.0;101.0;797.5;6.269999981000001;15.0;-0.5068;26.45835495;SmoothCondition;LowCongestionCondition;EvenPaceStyle
62;-11.80000305;14.39999962;6.824999813;117.80122220000001;0.0;0.9878;90.58823395;32.0;101.0;726.0;8.630000114;15.0;-0.4882;26.004125600000002;SmoothCondition;LowCongestionCondition;EvenPaceStyle
63;-19.80000305;14.39999962;7.064999807;117.92569679999998;0.0;1.1316;92.94117737;32.0;101.0;784.0;8.880000114;15.0;-0.6712;25.29549789;SmoothCondition;LowCongestionCondition;EvenPaceStyle
64;-21.8999939;16.19999886;7.334999787999999;118.41993390000002;1.799999237;1.2209999999999999;92.94117737;32.0;101.0;784.0;8.880000114;15.0;-0.6487;25.29549789;SmoothCondition;LowCongestionCondition;EvenPaceStyle
65;-22.30000305;18.0;7.634999787999999;119.34434080000001;1.800001144;1.1665;3.1372549530000002;32.0;101.0;916.0;7.440000057000001;15.0;-0.5961;24.21328545;SmoothCondition;LowCongestionCondition;EvenPaceStyle
66;-22.20000458;18.89999962;7.949999781;120.4062645;0.899999619;1.3047;37.64706039;32.0;101.0;916.0;7.440000057000001;15.0;-0.6955;24.21328545;SmoothCondition;LowCongestionCondition;EvenPaceStyle
67;-24.30000305;17.10000038;8.234999788;120.67145959999999;-1.799999237;1.4474;37.64706039;32.0;101.0;793.5;6.360000134;15.0;-0.8115;23.36562538;SmoothCondition;LowCongestionCondition;EvenPaceStyle
68;-24.6000061;15.29999924;8.489999775;120.3019257;-1.800001144;1.5868;38.03921509;32.0;101.0;798.0;6.239999771;15.0;-0.9465;23.22027969;SmoothCondition;LowCongestionCondition;EvenPaceStyle
69;-24.29999542;11.69999981;8.684999772000001;119.2162054;-3.5999994280000003;1.6432;38.03921509;32.0;101.0;798.0;6.239999771;15.0;-1.0324;23.22027969;SmoothCondition;LowCongestionCondition;EvenPaceStyle
70;-22.79999542;8.099999428;8.819999762;117.9250106;-3.600000381;1.7107;37.25490189;32.0;101.0;730.0;6.239999771;15.0;-1.0325;23.22027969;SmoothCondition;LowCongestionCondition;EvenPaceStyle
71;-22.79999542;7.1999998089999995;8.939999758999999;116.63633270000001;-0.899999619;1.9128;97.64706421;32.0;101.0;730.0;6.6300001139999996;15.0;-0.9890000000000001;23.3833065;SmoothCondition;LowCongestionCondition;EvenPaceStyle
72;-14.5;10.79999924;9.07499975;116.0164767;3.5999994280000003;1.9735;97.64706421;33.0;101.0;891.5;9.109999657000001;15.0;-0.9364;23.29637909;SmoothCondition;LowCongestionCondition;EvenPaceStyle
73;-10.1000061;12.59999943;9.28499974;114.78637509999999;1.8000001909999999;1.9857;97.64706421;33.0;101.0;891.5;9.109999657000001;15.0;-0.8741;23.29637909;SmoothCondition;LowCongestionCondition;EvenPaceStyle
74;-7.9000015260000005;18.0;9.58499974;114.5209515;5.400000572000001;1.9721;74.90196228;33.0;103.0;1355.0;17.73999977;16.0;-0.8348;23.45933151;SmoothCondition;LowCongestionCondition;EvenPaceStyle
75;-9.699996947999999;21.59999847;9.944999715;115.27878159999999;3.599998474;1.8751;62.74509811;33.0;107.0;1355.0;17.73999977;16.0;-0.7112;23.45933151;SmoothCondition;LowCongestionCondition;EvenPaceStyle
76;-7.0;26.09999847;10.36499969;118.13620470000001;4.5;1.7788;62.74509811;33.0;107.0;1739.0;21.37999916;18.0;-0.5827;23.52676773;SmoothCondition;LowCongestionCondition;EvenPaceStyle
77;-4.699996948;28.79999924;10.82999968;122.1580605;2.7000007630000002;1.604;0.0;33.0;104.0;1277.0;12.88000011;18.0;-0.5145;22.90052414;SmoothCondition;LowCongestionCondition;EvenPaceStyle
